"","ST","STATE","OCC_CODE","FIRST_TOT_EMP","FIRST_YEAR","LAST_TOT_EMP","LAST_YEAR","percent_change_emp","OCC_TITLE"
"1","AK","Alaska","00-0000",279630,2001,327250,2015,17.03,"All occupations"
"2","AK","Alaska","11-0000",20550,1999,18300,2015,-10.95,"Management occupations"
"3","AK","Alaska","11-1011",940,1999,800,2015,-14.89,"Chief executives"
"4","AK","Alaska","11-1021",7570,1999,6460,2015,-14.66,"General and operations managers"
"5","AK","Alaska","11-1031",250,1999,150,2015,-40,"Legislators"
"6","AK","Alaska","11-2011",140,1999,60,2015,-57.14,"Advertising and promotions managers"
"7","AK","Alaska","11-2021",310,1999,140,2015,-54.84,"Marketing managers"
"8","AK","Alaska","11-2022",430,1999,400,2015,-6.98,"Sales managers"
"9","AK","Alaska","11-2031",120,1999,170,2015,41.67,"Public relations managers"
"10","AK","Alaska","11-3011",1250,1999,630,2015,-49.6,"Administrative services managers"
"11","AK","Alaska","11-3021",410,1999,410,2015,0,"Computer and information systems managers"
"12","AK","Alaska","11-3031",1270,1999,930,2015,-26.77,"Financial managers"
"13","AK","Alaska","11-3040",320,1999,330,2003,3.12,"Human resources managers"
"14","AK","Alaska","11-3041",90,2004,70,2008,-22.22,"Compensation and benefits managers"
"15","AK","Alaska","11-3042",80,2004,70,2009,-12.5,"Training and development managers"
"16","AK","Alaska","11-3049",210,2004,160,2009,-23.81,"Human resources managers, all other"
"17","AK","Alaska","11-3051",80,1999,100,2015,25,"Industrial production managers"
"18","AK","Alaska","11-3061",260,1999,170,2015,-34.62,"Purchasing managers"
"19","AK","Alaska","11-3071",460,1999,560,2015,21.74,"Transportation, storage, and distribution managers"
"20","AK","Alaska","11-3111",30,2011,30,2014,0,"Compensation and benefits managers"
"21","AK","Alaska","11-3121",170,2010,210,2015,23.53,"Human resources managers"
"22","AK","Alaska","11-3131",70,2010,70,2015,0,"Training and development managers"
"23","AK","Alaska","11-9021",890,1999,1120,2015,25.84,"Construction managers"
"24","AK","Alaska","11-9031",100,1999,100,2015,0,"Education administrators, preschool and child care center/program"
"25","AK","Alaska","11-9032",740,1999,620,2015,-16.22,"Education administrators, elementary and secondary school"
"26","AK","Alaska","11-9033",610,2000,220,2015,-63.93,"Education administrators, postsecondary"
"27","AK","Alaska","11-9039",130,2004,100,2015,-23.08,"Education administrators, all other"
"28","AK","Alaska","11-9041",340,1999,410,2015,20.59,"Engineering managers"
"29","AK","Alaska","11-9051",620,1999,370,2015,-40.32,"Food service managers"
"30","AK","Alaska","11-9081",130,2000,150,2015,15.38,"Lodging managers"
"31","AK","Alaska","11-9111",870,1999,1000,2015,14.94,"Medical and health services managers"
"32","AK","Alaska","11-9121",320,1999,420,2015,31.25,"Natural sciences managers"
"33","AK","Alaska","11-9131",180,1999,150,2015,-16.67,"Postmasters and mail superintendents"
"34","AK","Alaska","11-9141",330,1999,410,2015,24.24,"Property, real estate, and community association managers"
"35","AK","Alaska","11-9151",280,1999,350,2015,25,"Social and community service managers"
"36","AK","Alaska","11-9161",70,2013,70,2015,0,"Emergency management directors"
"37","AK","Alaska","11-9199",1770,2004,1460,2015,-17.51,"Managers, all other"
"38","AK","Alaska","13-0000",7700,1999,13760,2015,78.7,"Business and financial operations occupations"
"39","AK","Alaska","13-1022",260,1999,330,2015,26.92,"Wholesale and retail buyers, except farm products"
"40","AK","Alaska","13-1023",480,1999,670,2015,39.58,"Purchasing agents, except wholesale, retail, and farm products"
"41","AK","Alaska","13-1031",80,2000,260,2015,225,"Claims adjusters, examiners, and investigators"
"42","AK","Alaska","13-1041",410,1999,730,2015,78.05,"Compliance officers, except agriculture, construction, health and safety, and transportation"
"43","AK","Alaska","13-1051",350,1999,380,2015,8.57,"Cost estimators"
"44","AK","Alaska","13-1061",50,2000,60,2009,20,"Emergency management specialists"
"45","AK","Alaska","13-1071",230,1999,1120,2015,386.96,"Employment, recruitment, and placement specialists"
"46","AK","Alaska","13-1072",160,2000,140,2009,-12.5,"Compensation, benefits, and job analysis specialists"
"47","AK","Alaska","13-1073",390,1999,360,2009,-7.69,"Training and development specialists"
"48","AK","Alaska","13-1075",190,2012,170,2015,-10.53,"Labor relations specialists"
"49","AK","Alaska","13-1078",1120,2010,1140,2011,1.79,"Human resources, training, and labor relations specialists, all other*"
"50","AK","Alaska","13-1079",380,2004,500,2009,31.58,"Human resources, training, and labor relations specialists, all other"
"51","AK","Alaska","13-1081",50,2004,270,2015,440,"Logisticians"
"52","AK","Alaska","13-1111",240,1999,640,2015,166.67,"Management analysts"
"53","AK","Alaska","13-1121",60,1999,120,2015,100,"Meeting and convention planners"
"54","AK","Alaska","13-1131",80,2012,90,2015,12.5,"Fundraisers"
"55","AK","Alaska","13-1141",180,2010,170,2015,-5.56,"Compensation, benefits, and job analysis specialists"
"56","AK","Alaska","13-1151",400,2010,470,2014,17.5,"Training and development specialists"
"57","AK","Alaska","13-1161",200,2010,480,2015,140,"Market research analysts and marketing specialists*"
"58","AK","Alaska","13-1199",2050,2004,2700,2015,31.71,"Business operations specialists, all other"
"59","AK","Alaska","13-2011",1590,1999,2350,2015,47.8,"Accountants and auditors"
"60","AK","Alaska","13-2021",180,1999,150,2015,-16.67,"Appraisers and assessors of real estate"
"61","AK","Alaska","13-2031",200,1999,300,2015,50,"Budget analysts"
"62","AK","Alaska","13-2041",80,2000,40,2007,-50,"Credit analysts"
"63","AK","Alaska","13-2051",160,2001,360,2015,125,"Financial analysts"
"64","AK","Alaska","13-2052",40,2003,110,2015,175,"Personal financial advisors"
"65","AK","Alaska","13-2053",250,2000,140,2015,-44,"Insurance underwriters"
"66","AK","Alaska","13-2061",30,2000,90,2015,200,"Financial examiners"
"67","AK","Alaska","13-2071",70,2000,30,2011,-57.14,"Loan counselors"
"68","AK","Alaska","13-2072",250,1999,570,2015,128,"Loan officers"
"69","AK","Alaska","13-2081",130,2000,70,2015,-46.15,"Tax examiners, collectors, and revenue agents"
"70","AK","Alaska","13-2082",60,2000,240,2015,300,"Tax preparers"
"71","AK","Alaska","13-2099",390,2004,250,2015,-35.9,"Financial specialists, all other"
"72","AK","Alaska","15-0000",3030,1999,5210,2015,71.95,"Computer and mathematical occupations"
"73","AK","Alaska","15-1021",660,1999,650,2009,-1.52,"Computer programmers"
"74","AK","Alaska","15-1031",80,1999,310,2009,287.5,"Computer software engineers, applications"
"75","AK","Alaska","15-1032",30,2002,280,2009,833.33,"Computer software engineers, systems software"
"76","AK","Alaska","15-1041",970,1999,980,2009,1.03,"Computer support specialists"
"77","AK","Alaska","15-1051",520,2000,400,2009,-23.08,"Computer systems analysts"
"78","AK","Alaska","15-1061",90,1999,170,2009,88.89,"Database administrators"
"79","AK","Alaska","15-1071",280,1999,890,2009,217.86,"Network and computer systems administrators"
"80","AK","Alaska","15-1081",90,1999,280,2009,211.11,"Network systems and data communications analysts"
"81","AK","Alaska","15-1099",210,2004,490,2009,133.33,"Computer specialists, all other"
"82","AK","Alaska","15-1111",50,2012,60,2014,20,"Computer and information research scientists"
"83","AK","Alaska","15-1121",410,2010,520,2015,26.83,"Computer systems analysts"
"84","AK","Alaska","15-1122",50,2012,90,2015,80,"Information security analysts"
"85","AK","Alaska","15-1131",430,2010,610,2015,41.86,"Computer programmers"
"86","AK","Alaska","15-1132",720,2010,340,2015,-52.78,"Software developers, applications"
"87","AK","Alaska","15-1133",250,2010,160,2015,-36,"Software developers, systems software"
"88","AK","Alaska","15-1134",70,2012,120,2015,71.43,"Web developers"
"89","AK","Alaska","15-1141",210,2010,180,2015,-14.29,"Database administrators"
"90","AK","Alaska","15-1142",960,2010,1130,2015,17.71,"Network and computer systems administrators*"
"91","AK","Alaska","15-1143",60,2012,70,2015,16.67,"Computer network architects"
"92","AK","Alaska","15-1150",1060,2010,1170,2011,10.38,"Computer support specialists"
"93","AK","Alaska","15-1151",1030,2012,870,2015,-15.53,"Computer user support specialists"
"94","AK","Alaska","15-1152",360,2012,310,2015,-13.89,"Computer network support specialists"
"95","AK","Alaska","15-1179",260,2010,200,2011,-23.08,"Information security analysts, web developers, and computer network architects"
"96","AK","Alaska","15-1199",480,2012,510,2015,6.25,"Computer occupations, all other"
"97","AK","Alaska","15-1799",470,2010,490,2011,4.26,"Computer occupations, all other*"
"98","AK","Alaska","15-2031",70,2000,140,2015,100,"Operations research analysts"
"99","AK","Alaska","15-2041",50,2000,60,2013,20,"Statisticians"
"100","AK","Alaska","17-0000",5950,1999,8030,2015,34.96,"Architecture and engineering occupations"
"101","AK","Alaska","17-1011",320,1999,190,2015,-40.62,"Architects, except landscape and naval"
"102","AK","Alaska","17-1012",60,2000,40,2012,-33.33,"Landscape architects"
"103","AK","Alaska","17-1021",60,1999,70,2015,16.67,"Cartographers and photogrammetrists"
"104","AK","Alaska","17-1022",420,1999,430,2015,2.38,"Surveyors"
"105","AK","Alaska","17-2011",40,2004,30,2015,-25,"Aerospace engineers"
"106","AK","Alaska","17-2041",40,2003,110,2015,175,"Chemical engineers"
"107","AK","Alaska","17-2051",1180,1999,1080,2015,-8.47,"Civil engineers"
"108","AK","Alaska","17-2061",50,2011,70,2015,40,"Computer hardware engineers"
"109","AK","Alaska","17-2071",230,1999,360,2015,56.52,"Electrical engineers"
"110","AK","Alaska","17-2072",60,1999,210,2015,250,"Electronics engineers, except computer"
"111","AK","Alaska","17-2081",310,1999,430,2015,38.71,"Environmental engineers"
"112","AK","Alaska","17-2111",60,2000,290,2015,383.33,"Health and safety engineers, except mining safety engineers and inspectors"
"113","AK","Alaska","17-2112",80,2000,80,2015,0,"Industrial engineers"
"114","AK","Alaska","17-2131",40,2001,70,2015,75,"Materials engineers"
"115","AK","Alaska","17-2141",350,1999,640,2015,82.86,"Mechanical engineers"
"116","AK","Alaska","17-2151",30,1999,200,2015,566.67,"Mining and geological engineers, including mining safety engineers"
"117","AK","Alaska","17-2171",30,1999,920,2015,2966.67,"Petroleum engineers"
"118","AK","Alaska","17-2199",560,2004,560,2015,0,"Engineers, all other"
"119","AK","Alaska","17-3011",230,1999,210,2015,-8.7,"Architectural and civil drafters"
"120","AK","Alaska","17-3012",40,2000,40,2015,0,"Electrical and electronics drafters"
"121","AK","Alaska","17-3013",80,2000,110,2013,37.5,"Mechanical drafters"
"122","AK","Alaska","17-3019",30,2005,40,2015,33.33,"Drafters, all other"
"123","AK","Alaska","17-3022",460,1999,530,2015,15.22,"Civil engineering technicians"
"124","AK","Alaska","17-3023",590,1999,470,2015,-20.34,"Electrical and electronic engineering technicians"
"125","AK","Alaska","17-3024",40,2001,40,2015,0,"Electro-mechanical technicians"
"126","AK","Alaska","17-3025",40,1999,130,2015,225,"Environmental engineering technicians"
"127","AK","Alaska","17-3026",80,2008,70,2015,-12.5,"Industrial engineering technicians"
"128","AK","Alaska","17-3027",100,2000,150,2015,50,"Mechanical engineering technicians"
"129","AK","Alaska","17-3029",390,2004,300,2015,-23.08,"Engineering technicians, except drafters, all other"
"130","AK","Alaska","17-3031",120,1999,190,2015,58.33,"Surveying and mapping technicians"
"131","AK","Alaska","19-0000",4570,1999,6300,2015,37.86,"Life, physical, and social science occupations"
"132","AK","Alaska","19-1010",30,1999,50,2003,66.67,"Agricultural and food scientists"
"133","AK","Alaska","19-1013",40,2004,40,2015,0,"Soil and plant scientists"
"134","AK","Alaska","19-1022",30,1999,40,2015,33.33,"Microbiologists"
"135","AK","Alaska","19-1023",780,1999,750,2015,-3.85,"Zoologists and wildlife biologists"
"136","AK","Alaska","19-1029",310,2004,350,2015,12.9,"Biological scientists, all other"
"137","AK","Alaska","19-1031",160,1999,170,2015,6.25,"Conservation scientists"
