"","OCC_CODE","OCC_TITLE","max_State","max_Wage","min_State","min_Wage","max_adj_State","max_adj_Wage","min_adj_State","min_adj_Wage"
"1","00-0000","All Occupations","District of Columbia",66040,"Mississippi",29000,"District of Columbia",55916.068,"Florida",32099.471
"2","11-0000","Management Occupations","District of Columbia",130170,"Mississippi",68190,"Delaware",118612.004,"Hawaii",68204.892
"3","11-1011","Chief Executives","District of Columbia",186370,"Mississippi",96680,"Georgia",197160.06,"Idaho",103847.193
"4","11-1021","General and Operations Managers","New Jersey",140770,"Idaho",65920,"New Jersey",122948.518,"Idaho",70580.544
"5","11-1031","Legislators","New York",87430,"Arkansas",17530,"New York",75565.749,"New Hampshire",16949.198
"6","11-2011","Advertising and Promotions Managers","New York",172970,"West Virginia",47290,"New York",149497.971,"West Virginia",53196.521
"7","11-2021","Marketing Managers","New York",174810,"Mississippi",74730,"New York",151088.283,"Hawaii",74583.582
"8","11-2022","Sales Managers","New York",172650,"Hawaii",67950,"Delaware",150105.13,"Hawaii",58178.79
"9","11-2031","Public Relations and Fundraising Managers","New York",140740,"Mississippi",61970,"Delaware",133529.284,"Hawaii",69026.844
"10","11-3011","Administrative Services Managers","New Jersey",112320,"Mississippi",57670,"Florida",101666.825,"Hawaii",55327.644
"11","11-3021","Computer and Information Systems Managers","California",153810,"Mississippi",79920,"Virginia",148008.195,"Hawaii",85149.09
"12","11-3031","Financial Managers","New York",165630,"Mississippi",79630,"New York",143154.009,"Hawaii",75234.294
"13","11-3051","Industrial Production Managers","Wyoming",117530,"Hawaii",73550,"Wyoming",122172.435,"Hawaii",62973.51
"14","11-3061","Purchasing Managers","Delaware",140880,"Idaho",74360,"Delaware",138259.632,"Hawaii",77263.488
"15","11-3071","Transportation, Storage, and Distribution Managers","Delaware",130320,"Idaho",61280,"Delaware",127896.048,"Idaho",65612.496
"16","11-3111","Compensation and Benefits Managers","Colorado",137690,"Mississippi",57850,"North Carolina",135309.24,"Mississippi",66724.19
"17","11-3121","Human Resources Managers","District of Columbia",144080,"Mississippi",71520,"Rhode Island",126710.792,"Hawaii",70071.408
"18","11-3131","Training and Development Managers","New Jersey",124510,"Arkansas",66190,"North Carolina",125516.55,"Idaho",73096.689
"19","11-9021","Construction Managers","New Jersey",124140,"Mississippi",60090,"Rhode Island",114167.376,"Mississippi",69307.806
"20","11-9031","Education Administrators, Preschool and Childcare Center/Program","District of Columbia",60330,"Iowa",36360,"South Dakota",61297.416,"Oregon",37585.821
"21","11-9032","Education Administrators, Elementary and Secondary School","Connecticut",128200,"North Carolina",63720,"Connecticut",117828.62,"North Carolina",69486.66
"22","11-9033","Education Administrators, Postsecondary","Delaware",122630,"Kentucky",65530,"Delaware",120349.082,"Connecticut",70936.138
