STATE,y2008,y2009,y2010,y2011,y2012,y2013,y2014
Alabama,87.6,87.5,87.9,87.7,88.1,87.8,87.8
Alaska,106.9,106.9,105.5,105.1,105.4,105,105.7
Arizona,100.6,100.1,98.6,97.9,97.1,96.6,96.4
Arkansas,86.9,86.6,87.7,87.6,87.8,87.7,87.5
California,113.1,112.9,113.6,113.4,112.9,112.7,112.4
Colorado,100.4,101.1,100.9,101.4,101.1,101.8,102
Connecticut,110.7,110.4,109.4,109,109.2,108.7,108.8
Delaware,102,103.2,102.8,101.8,101.2,101,101.9
District of Columbia,115.6,116.4,118.2,117.8,117.7,117.7,118.1
Florida,100.8,100,99.1,99.2,99.1,99,99.1
Georgia,93.5,93.1,92.3,91.9,92.2,92,92
Hawaii,118.1,117.1,117.2,116.9,117.8,117.6,116.8
Idaho,95.2,94.8,93.5,93.3,93.4,92.7,93.4
Illinois,100.2,100.9,100.9,101.1,100.7,100.7,100.7
Indiana,91.2,91.4,91.4,91.7,91.4,91.5,91.4
Iowa,88.6,89,89.2,90,90.2,90.5,90.3
Kansas,89.3,89.6,89.9,90.7,90.6,91,90.7
Kentucky,88.9,88.7,88.6,88.6,88.8,89.2,88.7
Louisiana,90.7,91.4,91.2,91,91.4,91.2,91.4
Maine,98,98.1,96.8,97.4,98.4,98.1,97.1
Maryland,110.3,111.3,111,110.9,110.1,110.3,110.3
Massachusetts,108.3,108,108,107.8,106.6,107,107.1
Michigan,95.4,95.2,94.7,94.6,94.5,94.4,94.1
Minnesota,97.4,97.7,97.1,97.2,97.6,97.6,97.6
Mississippi,86.4,85.8,86.7,86.8,86.5,87,86.7
Missouri,87.8,87.9,88.3,89.1,89.3,89.7,89.4
Montana,95.3,94.5,93.9,93.8,93.5,94.2,94.2
Nebraska,89.7,89.6,90.3,90.3,90.6,90.6,90.6
Nevada,100.8,100.7,99.9,99.8,98.7,98.3,97.7
New Hampshire,107.2,106.4,106.5,105.3,105.6,105.5,105.2
New Jersey,112.9,113.3,114.1,114.6,114.4,114.2,114.5
New Mexico,94.4,94.4,94.6,95.3,95,95,95
New York,115.1,115.3,115.2,115.2,115.3,115.4,115.7
North Carolina,92,92.1,91.3,91.5,91.7,91.8,91.7
North Dakota,88.5,89,89.2,89.7,91,91.6,91.5
Ohio,90,89.3,89.8,89.7,89.4,89.4,89.3
Oklahoma,88.9,89.5,89.6,89.6,89.9,90,90.1
Oregon,98.3,98.9,98.5,98.5,98.7,98.8,99
Pennsylvania,98.2,98.2,98.5,98.4,98.4,98.7,98.2
Rhode Island,100.2,100,99.1,99.4,98.8,98.4,98.7
South Carolina,91.1,91.5,90.4,90.8,90.8,90.5,90.5
South Dakota,86.9,85.8,86.9,87.3,88.9,87.8,88
Tennessee,90.5,90.5,90.2,90.3,90.8,90.7,90.2
Texas,96.5,96.4,96.3,96.2,96.2,96.4,96.6
Utah,96.8,97.8,96.9,97.2,97.1,97.3,97
Vermont,100.4,100.6,99.5,99.9,100.8,100.4,101.2
Virginia,102.8,103.5,103.1,103,103,102.9,102.6
Washington,103.2,103.7,103,102.9,103.5,103.5,103.8
West Virginia,87,87.5,88.4,88.5,88.6,88.5,88.9
Wisconsin,93,92.9,92.8,93.3,93.5,93.3,93.4
Wyoming,96.1,96.1,95.9,96.7,95.8,95.6,96.2
