STATE,value100
Mississippi,115.34
Arkansas,114.29
Alabama,113.9
South Dakota,113.64
Kentucky,112.74
West Virginia,112.49
Ohio,111.98
Missouri,111.86
Oklahoma,110.99
Tennessee,110.86
Iowa,110.74
South Carolina,110.5
Nebraska,110.38
Kansas,110.25
Indiana,109.41
Louisiana,109.41
North Dakota,109.29
North Carolina,109.05
Georgia,108.7
Idaho,107.07
Wisconsin,107.07
Michigan,106.27
Montana,106.16
New Mexico,105.26
Wyoming,103.95
Arizona,103.73
Texas,103.52
Utah,103.09
Maine,102.99
Minnesota,102.46
Nevada,102.35
Pennsylvania,101.83
Rhode Island,101.32
Oregon,101.01
Florida,100.91
Illinois,99.3
Vermont,98.81
Delaware,98.14
Colorado,98.04
Virginia,97.47
Washington,96.34
New Hampshire,95.06
Alaska,94.61
Massachusetts,93.37
Connecticut,91.91
Maryland,90.66
California,88.97
New Jersey,87.34
New York,86.43
Hawaii,85.62
District of Columbia,84.67
